rank;code;fr_name;fr_release;en_name;us_release;jap_name;jap_release;classic_size;full_size;category;fr_url;en_url;symbol_url;bloc_code
19;neo2;Neo Discovery;15/10/2001;Neo Discovery;01/06/2001;;;75;;;https://images.pokemontcg.io/neo2/logo.png;https://images.pokemontcg.io/neo2/logo.png;https://images.pokemontcg.io/neo2/symbol.png;NEO
18;neo1;Neo Genesis;20/05/2001;Neo Genesis;16/12/2000;;;111;;;https://images.pokemontcg.io/neo1/logo.png;https://images.pokemontcg.io/neo1/logo.png;https://images.pokemontcg.io/neo1/symbol.png;NEO
17;gym2;Gym Challenge;16/10/2000;Gym Challenge;16/10/2000;;;132;;;https://images.pokemontcg.io/gym2/logo.png;https://images.pokemontcg.io/gym2/logo.png;https://images.pokemontcg.io/gym2/symbol.png;GYM
16;gym1;Gym Heroes;14/08/2000;Gym Heroes;14/08/2000;;;132;;;https://images.pokemontcg.io/gym1/logo.png;https://images.pokemontcg.io/gym1/logo.png;https://images.pokemontcg.io/gym1/symbol.png;GYM
15;base5;Team Rocket;01/03/2001;Team Rocket;24/04/2000;;;83;;;https://images.pokemontcg.io/base5/logo.png;https://images.pokemontcg.io/base5/logo.png;https://images.pokemontcg.io/base5/symbol.png;BASE
14;base4;Base Set 2;24/02/2000;Base Set 2;24/02/2000;;;130;;;https://www.pokecardex.com/assets/images/logos/BS2.png;https://images.pokemontcg.io/base4/logo.png;https://images.pokemontcg.io/base4/symbol.png;BASE
13;base3;Fossil;01/11/2000;Fossil;10/10/1999;;;62;;;https://www.pokecardex.com/assets/images/logos/FO.png;https://images.pokemontcg.io/base3/logo.png;https://images.pokemontcg.io/base3/symbol.png;BASE
12;base2;Jungle;01/07/2000;Jungle;16/06/1999;;;64;;;https://www.pokecardex.com/assets/images/logos/JU.png;https://images.pokemontcg.io/base2/logo.png;https://images.pokemontcg.io/base2/symbol.png;BASE
11;base1;Set de Base;18/11/1999;Base;09/01/1999;;;102;;;https://www.pokecardex.com/assets/images/logos/BS.png;https://images.pokemontcg.io/base1/logo.png;https://images.pokemontcg.io/base1/symbol.png;BASE
10;basep;Wizards Promos;09/01/1999;Wizards Black Star Promos;09/01/1999;;;53;;;https://www.pokecardex.com/assets/images/logos/BS.png;https://images.pokemontcg.io/basep/logo.png;https://images.pokemontcg.io/basep/symbol.png;BASE
9;pop9;POP Series 9;01/03/2009;POP Series 9;01/03/2009;;;17;;;https://www.pokecardex.com/assets/images/logos/accueil/jpg/POP9.jpg;https://images.pokemontcg.io/pop9/logo.png;https://images.pokemontcg.io/pop9/symbol.png;POP
8;pop8;POP Series 8;01/09/2008;POP Series 8;01/09/2008;;;17;;;https://www.pokecardex.com/assets/images/logos/accueil/jpg/POP8.jpg;https://images.pokemontcg.io/pop8/logo.png;https://images.pokemontcg.io/pop8/symbol.png;POP
7;pop7;POP Series 7;01/03/2008;POP Series 7;01/03/2008;;;17;;;https://www.pokecardex.com/assets/images/logos/accueil/jpg/POP7.jpg;https://images.pokemontcg.io/pop7/logo.png;https://images.pokemontcg.io/pop7/symbol.png;POP
6;pop6;POP Series 6;01/09/2007;POP Series 6;01/09/2007;;;17;;;https://www.pokecardex.com/assets/images/logos/accueil/jpg/POP6.jpg;https://images.pokemontcg.io/pop6/logo.png;https://images.pokemontcg.io/pop6/symbol.png;POP
5;pop5;POP Series 5;01/03/2007;POP Series 5;01/03/2007;;;17;;;https://www.pokecardex.com/assets/images/logos/accueil/jpg/POP5.jpg;https://images.pokemontcg.io/pop5/logo.png;https://images.pokemontcg.io/pop5/symbol.png;POP
4;pop4;POP Series 4;01/08/2006;POP Series 4;01/08/2006;;;17;;;https://www.pokecardex.com/assets/images/logos/accueil/jpg/POP4.jpg;https://images.pokemontcg.io/pop4/logo.png;https://images.pokemontcg.io/pop4/symbol.png;POP
3;pop3;POP Series 3;01/04/2006;POP Series 3;01/04/2006;;;17;;;https://www.pokecardex.com/assets/images/logos/accueil/jpg/POP3.jpg;https://images.pokemontcg.io/pop3/logo.png;https://images.pokemontcg.io/pop3/symbol.png;POP
2;pop2;POP Series 2;01/08/2005;POP Series 2;01/08/2005;;;17;;;https://www.pokecardex.com/assets/images/logos/accueil/jpg/POP2.jpg;https://images.pokemontcg.io/pop2/logo.png;https://images.pokemontcg.io/pop2/symbol.png;POP
1;pop1;POP Series 1;01/09/2004;POP Series 1;01/09/2004;;;17;;;https://www.pokecardex.com/assets/images/logos/accueil/jpg/POP1.jpg;https://images.pokemontcg.io/pop1/logo.png;https://images.pokemontcg.io/pop1/symbol.png;POP
